OTHER	2010-07-19 00:00:00	37.8068540	-122.2744750
BURG - AUTO	2010-07-15 00:00:00	37.8068540	-122.2744750
ROBBERY	2010-11-09 23:30:00	37.8127110	-122.2740497
BURG - AUTO	2010-11-09 18:00:00	37.8083741	-122.2698804
NARCOTICS	2010-10-25 13:08:00	37.8110716	-122.2692416
NARCOTICS	2010-10-25 13:08:00	37.8110716	-122.2692416
MISDEMEANOR ASSAULT	2010-08-13 16:18:00	37.8137222	-122.2756514
BURG - COMMERCIAL	2010-08-29 17:30:00	37.8043722	-122.2708026
FELONY ASSAULT	2010-10-03 01:35:00	37.8075701	-122.2700503
STOLEN AND RECOVERED VEHICLE	2010-08-13 08:00:00	37.8043722	-122.2708026
DOMESTIC VIOLENCE	2010-10-13 08:30:00	37.8068540	-122.2744750
DOMESTIC VIOLENCE	2010-10-13 08:30:00	37.8068540	-122.2744750
STOLEN VEHICLE	2010-10-06 19:00:00	37.8156675	-122.2640288
BURG - AUTO	2010-07-19 19:39:00	37.8183961	-122.2604841
BURG - AUTO	2010-07-19 19:39:00	37.8183961	-122.2604841
VANDALISM	2010-07-29 13:00:00	37.8164491	-122.2752712
PROSTITUTION	2010-10-27 19:47:00	37.8043722	-122.2708026
BURG - AUTO	2010-10-22 18:30:00	37.8126209	-122.2687791
STOLEN VEHICLE	2010-08-15 02:45:00	37.8138614	-122.2742502
OTHER	2010-07-16 00:00:00	37.8068540	-122.2744750
RECOVERED O/S STOLEN	2010-11-09 11:20:00	37.8043722	-122.2708026
BURG - COMMERCIAL	2010-07-19 13:30:00	37.8078220	-122.2685270
STOLEN AND RECOVERED VEHICLE	2010-11-09 13:24:00	37.8043722	-122.2708026
ROBBERY	2010-07-19 15:42:00	37.8132843	-122.2725710
DOMESTIC VIOLENCE	2010-07-19 15:30:00	37.8134825	-122.2686075
DRUNKENNESS	2010-10-11 05:08:00	37.8043722	-122.2708026
DRUNKENNESS	2010-10-12 14:39:00	37.8126349	-122.2688220
PETTY THEFT	2010-10-09 00:00:00	37.8076362	-122.2736099
DRUNKENNESS	2010-10-04 23:32:00	37.8128373	-122.2614091
FELONY ASSAULT	2010-07-20 07:00:00	37.8036273	-122.2715953
DOMESTIC VIOLENCE	2010-07-19 04:00:00	37.8126650	-122.2715490
BURG - COMMERCIAL	2010-07-19 13:30:00	37.8078220	-122.2685270
BURG - COMMERCIAL	2010-07-19 13:30:00	37.8078220	-122.2685270
MISDEMEANOR ASSAULT	2010-08-16 10:15:00	37.8095961	-122.2695858
POSSESSION - STOLEN PROPERTY	2010-08-15 22:40:00	37.8058430	-122.2668030
PROSTITUTION	2010-10-27 18:24:00	37.8043722	-122.2708026
PROSTITUTION	2010-10-27 18:24:00	37.8043722	-122.2708026
GRAND THEFT	2010-07-30 10:00:00	37.8076362	-122.2736099
DOMESTIC VIOLENCE	2010-07-19 04:00:00	37.8126650	-122.2715490
PETTY THEFT	2010-07-16 18:00:00	37.8043722	-122.2708026
ROBBERY	2010-09-03 23:45:00	37.8043722	-122.2708026
DOMESTIC VIOLENCE	2010-09-04 23:43:00	37.8029326	-122.2675742
DOMESTIC VIOLENCE	2010-09-04 23:43:00	37.8029326	-122.2675742
NARCOTICS	2010-09-04 00:21:00	37.8159637	-122.2781187
ROBBERY	2010-08-11 17:55:00	37.8112563	-122.2604808
GRAND THEFT	2010-08-26 13:00:00	37.8024750	-122.2719230
BURG - AUTO	2010-09-19 21:50:00	37.8008835	-122.2688768
DOMESTIC VIOLENCE	2010-10-17 16:00:00	37.8154255	-122.2747306
MISDEMEANOR ASSAULT	2010-08-29 13:30:00	37.8066841	-122.2749895
DISORDERLY CONDUCT	2010-10-18 21:45:00	37.8154255	-122.2747306
BURG - AUTO	2010-10-04 21:30:00	37.8078888	-122.2723485
NARCOTICS	2010-09-26 01:59:00	37.8024995	-122.2753041
DRUNKENNESS	2010-10-13 16:33:00	37.8043722	-122.2708026
DRUNKENNESS	2010-10-13 20:15:00	37.8043722	-122.2708026
VANDALISM	2010-09-09 16:31:00	37.8154028	-122.2703074
MISDEMEANOR ASSAULT	2010-10-04 17:20:00	37.8164491	-122.2752712
OTHER SEX OFFENSES	2010-09-04 12:22:00	37.8019980	-122.2652395
MISDEMEANOR ASSAULT	2010-10-04 17:20:00	37.8164491	-122.2752712
MISDEMEANOR ASSAULT	2010-10-01 00:00:00	37.8068540	-122.2744750
VANDALISM	2010-09-22 00:00:00	37.8068540	-122.2744750
GRAND THEFT	2010-10-02 00:00:00	37.8068540	-122.2744750
KIDNAPPING	2010-09-04 22:00:00	37.8043722	-122.2708026
NARCOTICS	2010-09-05 08:50:00	37.8194907	-122.2698143
GRAND THEFT	2010-09-29 00:00:00	37.8043722	-122.2708026
ROBBERY	2010-09-19 00:30:00	37.8029484	-122.2720313
MISDEMEANOR ASSAULT	2010-09-19 17:20:00	37.8006861	-122.2749779
DISORDERLY CONDUCT	2010-08-05 11:00:00	37.8087943	-122.2726298
BURG - AUTO	2010-10-17 14:30:00	37.8001554	-122.2693418
PETTY THEFT	2010-09-16 00:00:00	37.8068540	-122.2744750
BURG - AUTO	2010-09-15 20:30:00	37.8014222	-122.2714622
BURG - AUTO	2010-09-15 23:00:00	37.8096208	-122.2646451
DOMESTIC VIOLENCE	2010-09-09 13:31:00	37.8111644	-122.2798960
PETTY THEFT	2010-08-25 16:00:00	37.8097055	-122.2695138
OTHER	2010-09-28 00:00:00	37.8068540	-122.2744750
BURG - AUTO	2010-07-29 00:00:00	37.8051406	-122.2647562
FELONY ASSAULT	2010-08-16 12:00:00	37.8150004	-122.2721639
NARCOTICS	2010-08-16 13:00:00	37.8110716	-122.2692416
DOMESTIC VIOLENCE	2010-08-14 00:00:00	37.8027056	-122.2692147
MISDEMEANOR ASSAULT	2010-08-14 18:28:00	37.8060466	-122.2699085
